行号,笔记标题,主页链接,原笔记地址,失败原因
47,担心蒸汽外溢？微蒸烤一体机照着选零烦恼！,https://www.xiaohongshu.com/user/profile/66ff9528000000001d020996,https://www.xiaohongshu.com/explore/69cf6633000000001d01c9ce?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
48,揪6个宝❗️和真香搭子免费送中式风味啦！,https://www.xiaohongshu.com/user/profile/5cdfc803000000001102aa2a,https://www.xiaohongshu.com/explore/69cf9d0e000000001d01af61?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
49,厨房小白必看！微蒸烤一体机选购避坑指南✨,https://www.xiaohongshu.com/user/profile/6333f701000000002303918a,https://www.xiaohongshu.com/explore/69ccedc3000000001b021cc4?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
50,4.2/412份「老板寻鲜记」好礼掉落,https://www.xiaohongshu.com/user/profile/690b518a0000000037002a74,https://www.xiaohongshu.com/explore/69cd385e00000000220263ff?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
51,500平别墅|“好好生活”的证据都藏在细节里,https://www.xiaohongshu.com/user/profile/62c84330000000001b001b84,https://www.xiaohongshu.com/explore/69cdf0b7000000001f005f89?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
52,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/69b8f5d50000000032024a2d,https://www.xiaohongshu.com/explore/69ce5b850000000023016686?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
53,告别麻烦制造机，神仙厨房搭子蒸烤箱上线~,https://www.xiaohongshu.com/user/profile/64d4b8cf0000000001029955,https://www.xiaohongshu.com/explore/69cf1f98000000001a0256e6?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
54,6㎡小厨房爆改！原来微蒸烤一体机这么香,https://www.xiaohongshu.com/user/profile/597800fb6a6a69564b1f952a,https://www.xiaohongshu.com/explore/69cf28c3000000002200de6e?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
55,微蒸烤一体机怎么选？6大维度帮你避坑,https://www.xiaohongshu.com/user/profile/5d009ea0000000001000c0c6,https://www.xiaohongshu.com/explore/69ce21650000000021005b52?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
56,开放式厨房微蒸烤一体机，这样选不踩坑！！！📙,https://www.xiaohongshu.com/user/profile/5fb898cc00000000010010af,https://www.xiaohongshu.com/explore/69ce0678000000001b0225ef?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
57,🌙vvvvvlog｜谁说懒人在家不配吃大餐,https://www.xiaohongshu.com/user/profile/5a4bab85e8ac2b786b4eb177,https://www.xiaohongshu.com/explore/69cf35c0000000002103b5f6?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
58,老板寻鲜记🎁春日鲜礼惊喜盒子掉落,https://www.xiaohongshu.com/user/profile/669c6c340000000024020162,https://www.xiaohongshu.com/explore/69ccefca0000000021010bd7?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
59,400份惊喜盒子🎁老板寻鲜记惊喜盒子来啦,https://www.xiaohongshu.com/user/profile/626e1b93000000002102982e,https://www.xiaohongshu.com/explore/69cfdc410000000023021845?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
60,适我的家，藏在生活每一处细节里,https://www.xiaohongshu.com/user/profile/604d700f0000000001002441,https://www.xiaohongshu.com/explore/69cf763d000000002103a46b?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
61,厨房干货‼实用又高级的开放式厨房太香啦,https://www.xiaohongshu.com/user/profile/5aba69364eacab433c2a2f7a,https://www.xiaohongshu.com/explore/69cbc2020000000023006523?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
62,厨房挤到爆⁉️选对嵌入式微蒸烤省出半面柜！！,https://www.xiaohongshu.com/user/profile/638c8624000000001f01d309,https://www.xiaohongshu.com/explore/69cb93da000000002800afa6?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
63,没错！这就是我在小红书上最喜欢的厨房,https://www.xiaohongshu.com/user/profile/5f1cecc80000000001007c48,https://www.xiaohongshu.com/explore/69ccd8ad000000001a03119e?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
64,260平顶复洋房 | 美式西厨装下的三餐四季,https://www.xiaohongshu.com/user/profile/566981c5589de339803e6fc9,https://www.xiaohongshu.com/explore/69cf57a3000000001b002d75?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
65,别傻了❗蒸烤箱就该这么选 !,https://www.xiaohongshu.com/user/profile/6833dd00000000000e012a33,https://www.xiaohongshu.com/explore/69ce303a000000001a0318a4?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
